patient;preict1;preict2;lvf1;lvf2;Ict1;Ict2
sim0;4.661;4.078;69.749;140.188;3.356;4.177
sim0;21.317;22.436;18.825;17.922;9.671;10.884
sim0;11.012;9.842;13.939;15.001;15.828;18.142
sim0;355.724;375.767;28.189;41.471;303.139;300.856
sim1;4.968;4.952;184.01;234.3;3.943;4.016
sim1;23.374;25.189;30.128;22.467;10.581;9.525
sim1;10.995;10.586;29.296;30.075;20.476;18.316
sim1;408.213;392.031;25.084;28.94;310.995;299.749
sim2;5.317;5.408;241.606;181.985;4.039;4.688
sim2;21.614;22.96;34.086;28.293;10.471;10.83
sim2;12.457;11.213;35.475;30.219;17.806;20.37
sim2;386.095;391.713;45.998;24.084;312.637;331.141
sim3;4.984;5.65;253.323;195.809;4.15;3.929
sim3;20.048;24.184;37.306;30.655;10.606;11.38
sim3;9.669;12.439;27.233;22.388;18.315;19.426
sim3;364.564;354.44;42.937;36.717;307.729;282.875
sim4;5.379;4.775;246.735;210.313;4.444;4.544
sim4;24.365;23.275;31.263;22.886;11.028;11.534
sim4;12.635;9.822;35.334;30.225;19.038;19.262
sim4;369.257;378.229;35.055;30.441;270.798;343.395
sim5;5.934;4.77;62.62;182.181;3.744;3.689
sim5;21.754;24.693;181.399;29.136;10.537;10.863
sim5;9.699;10.784;129.751;36.633;18.028;19.069
sim5;399.609;384.058;87.363;28.483;344.313;308.665
sim6;5.592;4.793;258.98;103.81;3.944;4.293
sim6;24.876;22.765;31.539;20.892;11.035;11.757
sim6;11.779;12.466;27.989;20.687;15.094;18.375
sim6;297.082;351.623;28.406;30.835;271.912;282.205
sim7;6.95;5.263;129.114;221.504;4.168;4.018
sim7;21.699;22.814;21.312;27.896;10.739;11.279
sim7;13.748;13.19;15.733;36.34;16.188;16.472
sim7;373.101;356.735;34.601;47.317;284.64;280.517
sim8;4.85;4.368;107.496;86.121;3.993;4.349
sim8;26.664;23.659;22.545;12.813;10.133;10.288
sim8;14.565;11.085;22.525;16.493;16.372;19.25
sim8;367.494;396.899;38.922;36.498;279.636;306.486
sim9;4.916;3.757;171.165;216.856;4.449;3.413
sim9;21.438;18.412;21.612;34.159;11.503;9.579
sim9;10.962;8.258;33.808;36.348;19.01;19.951
sim9;384.959;383.368;36.646;36.606;301.585;309.99
